カテゴリ,概要,場所,NPC,報酬
戦闘,グランドマスター,タラ,レザール,グランドマスターの印
戦闘,昇段試験,イメンマハ,昇段案内人,昇段
戦闘,Today影ミッション,タルティーン/タラ,自動,経験値、冒険家の印章
戦闘,ベルテンミッション,アヴァロンゲート,自動,経験値、冒険家の印章
戦闘,シルヴァンドラゴン,アヴァロン,,経験値
戦闘,モクルカルフィ,アヴァロン,,経験値
戦闘,使途レイド,イメンマハ,自動,神聖経験値
戦闘,ウルラのダンジョン攻略,ダンバートン,エヴァン,冒険家の印章、AP交換券
戦闘,ベテラン魔族ダンジョン,ダンバートン,プールナブロンの調査員,冒険家の印章、AP交換券
採集,採集,,自動,冒険家の印章、経験値上昇の黄金の実
生産,マジッククラフト,シリエン生態保護地区,バイス,冒険家の印章、神秘なハーブパウダー
生産,ヒルウェン工学,シリエン生態保護地区,ヘクター,冒険家の印章、エメラルドコア
釣り,釣ったアイテムを渡す,ベルファスト,パダルル,ベルファストの印章、冒険家の印章
釣り,釣ったアイテムを渡す,ベルファスト,モナット,ベルファストの印章、冒険家の印章
生産,トマトバジルサラダを渡す,ベルファスト,ヒコ,ベルファストの印章、冒険家の印章
生産,ベジタブルカナッペを渡す,ベルファスト,ラーフ,ベルファストの印章、冒険家の印章
戦闘,略奪者親分オーガ1匹退治,ベルファスト,キヌ,ベルファストの印章、冒険家の印章
釣り,真珠貝を渡す,パダルル,ベルファスト,ベルファストの印章、冒険家の印章
その他,交易,,交易サポーターゴブリン,冒険家の印章
生産,料理,イメンマハ,ゴードン,冒険家の印章
その他,遺跡発見10回,ケルラベースキャンプ,アレクシーナ,冒険家の印章
その他,NPC4名と会話,ラノ地域,ラムバート博士,冒険家の印章
その他,NPCに補給品を渡す,ムユ砂漠,アンジェリナ,冒険家の印章
戦闘,プリズンゴースト退治,メトス,情報隊員,冒険家の印章
採集,ホワイトハーブを渡す,渦巻き模様から南東方向の湖付近,ラルフ,冒険家の印章
戦闘,イカダで☆30,イカダ,,冒険家の印章
戦闘,熱気球で☆30,ザルディン,ベリタ,冒険家の印章
釣り,マカジキを渡す,カブ,マノリン,冒険家の印章、ランダムで改造石など
生産,釘を渡す,カブ,マドック,冒険家の印章、ファームストーン
その他,ランストーナメント勝利,タラ,リリス,冒険家の印章、ランダムボックス
生産,ハンディクラフト,イメンマハ,人形工房マコーレー